"Wavelength, µm","n","k"
1.005,2.697273,1.614538
1.0075,2.699018,1.617588
1.01,2.700771,1.620635
1.0125,2.702531,1.623681
1.015,2.704298,1.626724
1.0175,2.706074,1.629764
1.02,2.707856,1.632803
1.0225,2.709646,1.635839
1.025,2.711443,1.638872
1.0275,2.713248,1.641903
1.03,2.71506,1.644931
1.0325,2.716878,1.647957
1.035,2.718704,1.65098
1.0375,2.720537,1.654001
1.04,2.722377,1.657019
1.0425,2.724224,1.660034
1.045,2.726077,1.663046
1.0475,2.727938,1.666056
1.05,2.729805,1.669062
1.0525,2.731679,1.672066
1.055,2.73356,1.675067
1.0575,2.735447,1.678065
1.06,2.737341,1.681059
1.0625,2.739241,1.684051
1.065,2.741148,1.68704
1.0675,2.743061,1.690025
1.07,2.74498,1.693008
1.0725,2.746906,1.695987
1.075,2.748838,1.698963
1.0775,2.750777,1.701936
1.08,2.752721,1.704906
1.0825,2.754672,1.707872
1.085,2.756629,1.710835
1.0875,2.758591,1.713795
1.09,2.76056,1.716751
1.0925,2.762534,1.719704
1.095,2.764515,1.722653
1.0975,2.766501,1.725599
1.1,2.768493,1.728542
1.1025,2.770491,1.731481
1.105,2.772495,1.734416
1.1075,2.774504,1.737348
1.11,2.776518,1.740276
1.1125,2.778539,1.743201
1.115,2.780564,1.746122
1.1175,2.782596,1.74904
1.12,2.784632,1.751954
1.1225,2.786674,1.754864
1.125,2.788722,1.757771
1.1275,2.790774,1.760673
1.13,2.792832,1.763572
1.1325,2.794895,1.766468
1.135,2.796963,1.769359
1.1375,2.799037,1.772247
1.14,2.801115,1.775131
1.1425,2.803199,1.778011
1.145,2.805287,1.780888
1.1475,2.80738,1.78376
1.15,2.809479,1.786629
1.1525,2.811581,1.789493
1.155,2.813689,1.792354
1.1575,2.815802,1.795211
1.16,2.817919,1.798064
1.1625,2.820041,1.800913
1.165,2.822168,1.803758
1.1675,2.824299,1.8066
1.17,2.826435,1.809437
1.1725,2.828576,1.81227
1.175,2.830721,1.815099
1.1775,2.83287,1.817924
1.18,2.835024,1.820746
1.1825,2.837182,1.823563
1.185,2.839345,1.826376
1.1875,2.841511,1.829185
1.19,2.843682,1.83199
1.1925,2.845858,1.834791
1.195,2.848037,1.837588
1.1975,2.850221,1.840381
1.2,2.852408,1.84317
1.2025,2.8546,1.845955
1.205,2.856796,1.848735
1.2075,2.858996,1.851512
1.21,2.8612,1.854284
1.2125,2.863407,1.857053
1.215,2.865619,1.859817
1.2175,2.867835,1.862577
1.22,2.870054,1.865333
1.2225,2.872277,1.868085
1.225,2.874504,1.870832
1.2275,2.876734,1.873576
1.23,2.878969,1.876315
1.2325,2.881207,1.87905
1.235,2.883448,1.881781
1.2375,2.885694,1.884508
1.24,2.887943,1.887231
1.2425,2.890195,1.889949
1.245,2.892451,1.892663
1.2475,2.89471,1.895374
1.25,2.896973,1.89808
1.2525,2.899239,1.900781
1.255,2.901508,1.903479
1.2575,2.903781,1.906172
1.26,2.906057,1.908862
1.2625,2.908336,1.911547
1.265,2.910619,1.914227
1.2675,2.912905,1.916904
1.27,2.915194,1.919577
1.2725,2.917486,1.922245
1.275,2.919782,1.924909
1.2775,2.92208,1.927569
1.28,2.924382,1.930225
1.2825,2.926686,1.932876
1.285,2.928994,1.935524
1.2875,2.931304,1.938167
1.29,2.933618,1.940806
1.2925,2.935935,1.94344
1.295,2.938254,1.946071
1.2975,2.940576,1.948697
1.3,2.942901,1.951319
1.3025,2.945229,1.953938
1.305,2.94756,1.956551
1.3075,2.949894,1.959161
1.31,2.95223,1.961766
1.3125,2.954569,1.964368
1.315,2.956911,1.966965
1.3175,2.959255,1.969558
1.32,2.961602,1.972147
1.3225,2.963952,1.974731
1.325,2.966304,1.977311
1.3275,2.968658,1.979888
1.33,2.971016,1.98246
1.3325,2.973376,1.985028
1.335,2.975738,1.987592
1.3375,2.978103,1.990151
1.34,2.98047,1.992707
1.3425,2.98284,1.995258
1.345,2.985212,1.997805
1.3475,2.987586,2.000348
1.35,2.989963,2.002887
1.3525,2.992342,2.005422
1.355,2.994724,2.007953
1.3575,2.997107,2.010479
1.36,2.999493,2.013002
1.3625,3.001882,2.01552
1.365,3.004272,2.018034
1.3675,3.006665,2.020544
1.37,3.009059,2.02305
1.3725,3.011456,2.025552
1.375,3.013856,2.02805
1.3775,3.016257,2.030544
1.38,3.01866,2.033034
1.3825,3.021065,2.035519
1.385,3.023473,2.038001
1.3875,3.025882,2.040478
1.39,3.028294,2.042952
1.3925,3.030707,2.045421
1.395,3.033123,2.047886
1.3975,3.03554,2.050348
1.4,3.03796,2.052805
1.4025,3.040381,2.055258
1.405,3.042804,2.057707
1.4075,3.045229,2.060152
1.41,3.047656,2.062593
1.4125,3.050084,2.06503
1.415,3.052515,2.067464
1.4175,3.054947,2.069893
1.42,3.057381,2.072318
1.4225,3.059817,2.074739
1.425,3.062255,2.077156
1.4275,3.064694,2.079569
1.43,3.067135,2.081979
1.4325,3.069578,2.084384
1.435,3.072022,2.086785
1.4375,3.074468,2.089182
1.44,3.076916,2.091576
